"","STATEFP","UrbanAreaNo","income","age","income.LowestQuintile","income.SecondQuintile","income.ThirdQuintile","income.FourthQuintile","pop","white","hispanic","africanamerican","asian","twoormoreraces","educated","unemployed","notworkforce","gini","rent","State","UrbanArea","pct_white","pct_africanamerican","pct_asian","pct_hispanic","pct_twoormoreraces","pct_highed","pct_unem"
"211","Bartlett, TX","05356",38523,37.4,16808,33833,43625,59719,1418,1077,803,157,8,46,93,116,465,0.3877,389," TX","Bartlett",0.759520451339915,0.110719322990127,0.00564174894217207,0.566290550070522,0.0324400564174894,0.0655853314527503,0.121720881427072
"212","Basalt--El Jebel, CO","05410",68643,35.8,31189,57915,79652,130690,8714,7478,3939,46,95,263,2263,549,1187,0.428,1571," CO","Basalt--El Jebel",0.858159283910948,0.00527886160201974,0.0109019967867799,0.452031214138168,0.0301813174202433,0.259697039247188,0.0729374252690315
"213","Basehor, KS","05423",84821,35,41875,68229,91944,123922,3987,3733,254,55,75,13,777,52,773,0.3239,982," KS","Basehor",0.936292952094307,0.0137948332079258,0.018811136192626,0.0637070479056935,0.00326059694005518,0.194883370955606,0.0161792159303049
"214","Bastrop, LA","05437",23781,35.6,10950,18795,29177,50903,13920,3732,42,9987,56,116,1126,714,5210,0.4593,556," LA","Bastrop",0.268103448275862,0.717456896551724,0.00402298850574713,0.00301724137931034,0.00833333333333333,0.0808908045977011,0.0819747416762342
"215","Bastrop, TX","05464",50614,40.4,23661,41148,62681,90608,13746,11396,3737,1601,130,184,1712,470,5133,0.4004,826," TX","Bastrop",0.829041175614724,0.116470245889713,0.00945729666812163,0.271860904990543,0.0133857122071875,0.124545322275571,0.0545686752583304
"216","Batavia, NY","05491",40462,40.2,16920,32081,49367,78512,16995,14928,681,1214,125,462,2410,661,5291,0.4697,721," NY","Batavia",0.8783759929391,0.0714327743453957,0.00735510444248308,0.0400706090026478,0.0271844660194175,0.141806413651074,0.0564764183185236
"217","Batesburg-Leesville, SC","05518",27581,40.1,11265,21258,35062,69944,5224,2343,179,2717,63,74,518,417,1718,0.5421,672," SC","Batesburg-Leesville",0.448506891271057,0.52009954058193,0.0120597243491577,0.0342649310872894,0.0141653905053599,0.0991577335375191,0.118938961779806
"218","Batesville, AR","05545",38205,37.5,15494,30402,49194,83095,11440,10294,1565,661,111,192,1331,409,3639,0.4649,607," AR","Batesville",0.899825174825175,0.0577797202797203,0.0097027972027972,0.136800699300699,0.0167832167832168,0.116346153846154,0.0524291757466991
"219","Batesville, IN","05572",58370,39.3,28793,45974,73915,109979,7549,7326,68,34,144,25,1554,92,2149,0.4065,697," IN","Batesville",0.970459663531594,0.00450390780235793,0.0190753742217512,0.00900781560471586,0.00331169691349848,0.205855080143065,0.017037037037037
"220","Batesville, MS","05599",44076,30.4,15796,36688,55822,85839,7053,3917,24,3098,0,31,1084,187,2495,0.4303,705," MS","Batesville",0.555366510704665,0.439245711044945,0,0.00340280731603573,0.00439529278321282,0.15369346377428,0.0410267661254936
"221","Bath, NY","05653",37882,47.3,14920,29867,47972,73875,7016,6649,159,219,42,60,875,225,2747,0.4264,555," NY","Bath",0.947690992018244,0.0312143671607754,0.00598631698973774,0.0226624857468643,0.00855188141391106,0.124714937286203,0.0527055516514406
"222","Baton Rouge, LA","05680",52055,33.3,20243,40946,66742,105928,601979,343741,25405,227240,15167,9454,116659,24482,155551,0.4627,832," LA","Baton Rouge",0.571018258111994,0.377488251251289,0.0251952310628776,0.042202468856887,0.0157048667810671,0.193792474488313,0.0548397501948803
"223","Battle Creek, MI","05707",39188,37.9,17718,30776,49516,79461,76839,58746,4254,11556,2201,2945,9863,4609,24006,0.4641,685," MI","Battle Creek",0.764533635263343,0.150392378870105,0.0286443082288942,0.0553625112247687,0.0383268912921824,0.128359296711305,0.0872371434520092
"224","Battlement Mesa, CO","05734",56479,35.2,29179,43081,67633,107744,5141,4720,1418,34,22,117,825,168,1433,0.4083,892," CO","Battlement Mesa",0.918109317253453,0.0066134993191986,0.00427932308889321,0.275821824547753,0.0227582182454775,0.160474615833495,0.0453074433656958
"225","Battle Mountain, NV","05761",84491,39.9,35564,68855,94409,122091,3220,2823,844,4,26,103,282,248,854,0.3559,630," NV","Battle Mountain",0.876708074534161,0.00124223602484472,0.00807453416149068,0.262111801242236,0.0319875776397516,0.0875776397515528,0.104818258664413
"226","Baxley, GA","05788",39176,44.1,12181,29465,47818,72127,5062,2618,364,2053,73,69,649,137,1797,0.4287,545," GA","Baxley",0.517186882655077,0.405570920584749,0.0144211774002371,0.0719083366258396,0.0136309758988542,0.128210193599368,0.0419601837672282
"227","Baxter Springs, KS","05815",49012,39.8,19000,37610,57396,77391,5203,4646,46,0,4,275,627,177,1502,0.3561,583," KS","Baxter Springs",0.89294637709014,0,0.000768787238131847,0.00884105323851624,0.0528541226215645,0.120507399577167,0.0478249121858957
"228","Bayard, NM","05842",30039,39.5,12923,21947,33993,55962,4319,3206,3626,11,0,171,298,387,1585,0.4287,478," NM","Bayard",0.742301458670989,0.00254688585320676,0,0.839546191247974,0.0395924982634869,0.0689974531141468,0.14155084125823
"229","Bay City, MI","05869",41709,41.3,17209,31586,51923,80991,70182,65311,4441,1270,478,2179,9066,3766,23695,0.4538,632," MI","Bay City",0.930594739391867,0.0180958080419481,0.00681086318429227,0.06327833347582,0.031047847026303,0.12917842181756,0.0810118957988255
"230","Bay City, TX","05896",40948,34.8,15940,30714,52472,94174,18685,14427,7945,2576,138,850,1865,633,5583,0.4689,632," TX","Bay City",0.772116671126572,0.137864597270538,0.00738560342520739,0.425207385603425,0.0454910355900455,0.0998126839710998,0.0483132346206686
"231","Bayfield, CO","05904",63292,31,39863,56625,70567,100852,2476,2354,330,9,22,62,496,50,508,0.3551,1134," CO","Bayfield",0.950726978998385,0.00363489499192246,0.00888529886914378,0.133279483037157,0.0250403877221325,0.20032310177706,0.0254065040650406
"232","Bay Minette, AL","05923",30536,35.2,12596,24613,43088,67558,7638,4889,128,2633,22,66,770,309,2916,0.463,578," AL","Bay Minette",0.640089028541503,0.344723749672689,0.00288033516627389,0.0167583136946845,0.00864100549882168,0.100811730819586,0.065438373570521
"233","Bealeton, VA","05958",72148,31.4,41810,66958,91024,118575,7509,6294,1218,798,35,182,972,316,1355,0.3027,1149," VA","Bealeton",0.8381941669996,0.106272473032361,0.00466107337861233,0.162205353575709,0.0242375815687841,0.12944466640032,0.0513487162820929
"234","Beardstown, IL","05977",39683,35.2,21488,31505,47394,69329,6595,5473,2173,384,8,98,487,528,1648,0.3947,617," IL","Beardstown",0.829871114480667,0.0582259287338893,0.00121304018195603,0.329492039423806,0.0148597422289613,0.0738438210765732,0.106731352334748
"235","Beatrice, NE","06004",40467,43.4,17028,32483,53387,80428,12208,11769,285,21,72,192,1822,319,3555,0.4258,622," NE","Beatrice",0.96403997378768,0.00172018348623853,0.00589777195281782,0.0233453473132372,0.0157273918741809,0.149246395806029,0.0368658268808506
"236","Beaufort--Port Royal, SC","06031",47087,28.9,23625,38434,57710,90364,48175,31247,4744,12664,681,1696,7955,1589,11679,0.4425,955," SC","Beaufort--Port Royal",0.648614426569798,0.26287493513233,0.0141359626362221,0.0984743124026985,0.0352049818370524,0.165127140633108,0.0435390179745726
"237","Beaumont, TX","06058",42075,35.1,16496,32465,53175,88231,148414,82875,18253,54339,3989,2481,19768,6690,44378,0.4985,764," TX","Beaumont",0.558404193674451,0.366131227512229,0.0268775182934225,0.122987049739243,0.0167167517889148,0.133194981605509,0.0643046637702334
"238","Beaver, UT","06076",48226,33.6,20500,36500,61000,93931,2836,2623,231,0,0,94,244,177,647,0.4097,710," UT","Beaver",0.924894217207334,0,0,0.0814527503526093,0.0331452750352609,0.0860366713681241,0.0808588396528095
"239","Beaver Dam, KY","06085",34179,38,12806,26254,43104,63938,6379,5788,400,504,0,48,431,334,2586,0.4841,507," KY","Beaver Dam",0.907352249568898,0.0790092490986048,0,0.0627057532528609,0.00752469039034331,0.0675654491299577,0.0880569470076457
"240","Beaver Dam, WI","06112",46689,40.1,23745,36718,55700,80569,17765,16781,1360,254,84,449,2404,630,4489,0.4032,758," WI","Beaver Dam",0.944610188573037,0.0142977765268787,0.00472839853644807,0.076555023923445,0.0252744159864903,0.135322262876442,0.0474540524254293
"241","Becker, MN","06128",63333,30.8,40439,54942,73589,105885,3664,3578,0,0,40,33,615,151,475,0.3383,973," MN","Becker",0.976528384279476,0,0.0109170305676856,0,0.00900655021834061,0.167849344978166,0.0473502665412355
"242","Beckley, WV","06139",37300,40.4,15602,28691,47982,80232,62637,52835,956,7233,818,1011,8286,1867,24693,0.455,645," WV","Beckley",0.843511023835752,0.115474879065089,0.0130593738525153,0.0152625445024506,0.0161406197614828,0.132286029024379,0.0492040902382458
"243","Bedford, IN","06166",34502,39.7,15135,26864,43290,70937,14425,13795,334,80,205,157,1139,654,5419,0.4546,635," IN","Bedford",0.95632582322357,0.00554592720970537,0.01421143847487,0.0231542461005199,0.0108838821490468,0.0789601386481802,0.072618254497002
"244","Bedford, NY","06186",186531,42.7,64083,144156,214216,250001,2834,2556,189,40,77,85,1299,84,557,0.4826,1413," NY","Bedford",0.901905434015526,0.0141143260409315,0.0271700776287932,0.0666901905434016,0.0299929428369795,0.458362738179252,0.0368906455862978
"245","Bedford, PA","06193",39944,49.9,17526,29121,47092,76225,4113,3945,74,57,56,0,623,117,1622,0.4402,603," PA","Bedford",0.959153902261123,0.0138584974471189,0.0136153659129589,0.0179917335278386,0,0.151470945781668,0.0469690887193898
"246","Bedford, VA","06220",34400,43.8,10205,26110,43836,66147,7016,4913,81,1944,0,145,980,266,2614,0.4454,656," VA","Bedford",0.700256556442417,0.277080957810718,0,0.0115450399087799,0.0206670467502851,0.139680729760547,0.0604270786006361
"247","Beebe, AR","06247",28103,31.9,16608,22772,41464,79271,6910,6249,364,503,0,116,489,250,2300,0.5156,706," AR","Beebe",0.904341534008683,0.0727930535455861,0,0.0526772793053546,0.0167872648335745,0.070767004341534,0.0542299349240781
"248","Beecher, IL","06261",61769,42.1,29278,54692,73875,105200,4340,3851,294,143,63,181,466,238,1335,0.3604,774," IL","Beecher",0.887327188940092,0.0329493087557604,0.0145161290322581,0.067741935483871,0.041705069124424,0.107373271889401,0.0792013311148086
"249","Beeville, TX","06274",39598,32.6,14097,31633,47101,70586,17788,14038,11635,1321,35,370,1119,601,7234,0.4645,779," TX","Beeville",0.789183719361367,0.0742635484596357,0.00196761861929391,0.654092646728131,0.0208005396896784,0.062907578142568,0.0569452340344893
"250","Belding, MI","06301",38125,36.2,12411,29023,47420,71233,5785,5397,284,19,37,216,388,353,1812,0.4321,569," MI","Belding",0.932929991356958,0.00328435609334486,0.00639585133967156,0.0490924805531547,0.0373379429559205,0.0670700086430424,0.0888497357160836
"251","Belfair, WA","06335",41439,35.3,18629,28289,51810,93148,2982,2701,415,198,0,60,136,150,1191,0.4091,1094," WA","Belfair",0.905767940979209,0.0663983903420523,0,0.139168343393695,0.0201207243460765,0.04560697518444,0.0837520938023451
"252","Belfast, ME","06355",34322,45.1,16394,29041,49810,81000,3485,3275,62,12,114,28,1226,120,1297,0.5089,738," ME","Belfast",0.93974175035868,0.00344332855093257,0.0327116212338594,0.0177905308464849,0.00803443328550933,0.351793400286944,0.0548446069469835
"253","Belgrade, MT","06382",55659,31.2,27368,44211,65924,94255,14163,13820,601,19,0,205,2730,226,2172,0.3557,848," MT","Belgrade",0.975781967097366,0.00134152368848408,0,0.042434512462049,0.014474334533644,0.192755772082186,0.0188474689350346
"254","Bellefontaine, OH","06436",40622,34.7,14792,31521,49915,73796,13219,11941,299,483,116,483,1313,642,3888,0.4689,732," OH","Bellefontaine",0.903320977381042,0.0365383160602164,0.00877524774945155,0.0226189575610863,0.0365383160602164,0.0993267266812921,0.0688029150144679
"255","Bellefonte, PA","06463",51293,39.2,21444,40545,63228,91292,13281,12887,235,268,53,15,2598,402,3685,0.4104,710," PA","Bellefonte",0.970333559219938,0.02017920337324,0.00399066335366313,0.0176944507190724,0.00112943302462164,0.195617799864468,0.0418924551896624
"256","Belle Fourche, SD","06490",41117,34.9,15770,31522,52524,78766,5423,5108,221,6,10,214,569,85,1360,0.4332,616," SD","Belle Fourche",0.941914069703116,0.00110639867232159,0.00184399778720266,0.0407523510971787,0.0394615526461368,0.104923474091831,0.0209205020920502
"257","Belle Glade, FL","06517",31848,33.5,11671,24258,38838,56995,24278,9208,7530,14061,77,440,1577,1994,8712,0.4466,630," FL","Belle Glade",0.379273416261636,0.579166323420381,0.00317159568333471,0.310157344097537,0.0181234039047698,0.0649559271768679,0.128099704484132
"258","Belle Plaine, MN","06571",70533,32,33688,62988,81742,103833,6554,6339,10,10,81,52,1216,220,1100,0.3325,718," MN","Belle Plaine",0.967195605736955,0.00152578577967653,0.0123588648153799,0.00152578577967653,0.00793408605431797,0.185535550808666,0.0403373670700403
"259","Bellevue, IA","06598",43452,47.2,22103,39029,51573,87940,2553,2540,16,0,0,13,347,46,823,0.3881,578," IA","Bellevue",0.994907951429691,0,0,0.00626713670191931,0.00509204857030944,0.135918527222875,0.0265895953757225
"260","Bellevue, OH","06625",46274,37.4,23304,36982,53277,87930,8278,8113,192,17,8,112,722,348,2119,0.3976,648," OH","Bellevue",0.980067649190626,0.00205363614399613,0.000966417008939357,0.0231940082145446,0.013529838125151,0.087219135056777,0.0565026790063322
"261","Bellingham, WA","06652",48979,33.2,17486,36390,61836,94927,115881,99176,10445,1338,5459,5048,27970,5899,34578,0.4497,911," WA","Bellingham",0.85584349461948,0.0115463276982422,0.047108671827133,0.090135570110717,0.0435619299108568,0.241368300239038,0.0725557482503721
"262","Bellows Falls, VT--NH","06679",32863,36.6,17761,27833,45060,70390,5294,4898,177,59,18,269,673,287,1520,0.3742,796," VT--NH","Bellows Falls",0.925198337740839,0.011144692104269,0.00340007555723461,0.033434076312807,0.050812240272006,0.127125047223272,0.0760466348701643
"263","Bells, TN","06692",34663,36.8,16245,27988,44263,66500,4897,3437,696,1039,0,129,306,174,1674,0.4257,673," TN","Bells",0.701858280579947,0.212170716765367,0,0.142127833367368,0.0263426587706759,0.0624872370839289,0.0539869686627366
"264","Bellville, TX","06706",45505,38.1,23119,33703,53451,98837,4052,3353,789,354,0,71,695,147,1344,0.3982,836," TX","Bellville",0.827492596248766,0.0873642645607108,0,0.19471865745311,0.0175222112537019,0.171520236920039,0.0542836041358936
"265","Beloit, KS","06733",44067,40.9,20762,32357,54093,87453,3285,3202,85,0,42,8,523,39,818,0.4366,533," KS","Beloit",0.974733637747336,0,0.0127853881278539,0.0258751902587519,0.00243531202435312,0.159208523592085,0.0158086745034455
"266","Beloit, WI--IL","06760",42128,36.6,19272,34187,52191,82526,63052,53336,8840,4470,631,2936,7204,3752,17358,0.4247,711," WI--IL","Beloit",0.845904967328554,0.0708938653809554,0.0100076127640678,0.140201738247795,0.0465647402144262,0.114254900716869,0.0821114369501466
"267","Belterra, TX","06770",128930,36.5,100477,123337,150487,214771,4611,4006,353,122,341,127,1978,55,944,0.2972,2001," TX","Belterra",0.868792019084797,0.0264584688787682,0.0739535892431143,0.0765560615918456,0.0275428323574062,0.428974192149208,0.014998636487592
"268","Belton, SC","06779",31204,45.3,13386,25082,39082,64542,5172,4493,283,551,0,67,710,306,1889,0.507,581," SC","Belton",0.868716163959783,0.106535189481825,0,0.0547177107501933,0.012954369682908,0.137277648878577,0.093207432226622
"269","Belvidere, NJ--PA","06787",55340,49.8,22358,43370,65000,96042,3949,3742,117,99,12,47,733,173,1636,0.3966,907," NJ--PA","Belvidere",0.947581666244619,0.0250696378830084,0.00303874398581919,0.0296277538617372,0.0119017472777918,0.185616611800456,0.0747946389969736
"270","Belzoni, MS","06814",19824,31.6,9147,14513,27033,47064,5085,542,145,4436,0,107,337,565,1713,0.5319,546," MS","Belzoni",0.106588003933137,0.872369714847591,0,0.0285152409046214,0.0210422812192724,0.0662733529990167,0.167556346381969
"271","Bemidji, MN","06841",32875,28.6,14379,25752,40300,62198,14524,11666,256,149,153,602,2406,783,4701,0.4608,647," MN","Bemidji",0.803222252822914,0.0102588818507298,0.0105342880749105,0.0176259983475627,0.0414486367391903,0.165656843844671,0.0797108826224168
"272","Bend, OR","06868",52257,38.9,22830,40331,66203,99988,86821,80302,7006,446,1581,2143,22430,3728,23411,0.4777,951," OR","Bend",0.924914479215858,0.00513700602388823,0.0182098800981329,0.0806947627878048,0.0246829684062612,0.258347634788818,0.0587919886453241
"273","Bennettsville, SC","06895",29406,39.9,10193,21905,38440,61792,12181,3880,527,7801,62,168,1005,439,5887,0.4933,567," SC","Bennettsville",0.318528856415729,0.640423610541006,0.00508989409736475,0.0432640998276004,0.0137919711025367,0.0825055414169608,0.0697489672704163
"274","Bennington, VT","06922",34147,38.5,14670,28091,42819,70821,12099,11371,224,130,137,382,2051,608,4164,0.4993,827," VT","Bennington",0.939829737994876,0.0107446896437722,0.0113232498553599,0.0185139267708075,0.0315728572609307,0.169518141995206,0.0766225582860744
"275","Benson, AZ","06949",34310,58.5,17474,28925,42583,55345,3877,3312,1015,15,0,252,592,147,2056,0.3644,505," AZ","Benson",0.854268764508641,0.0038689708537529,0,0.261800361103946,0.0649987103430487,0.152695383028115,0.0807248764415156
"276","Benson, MN","06976",48260,45.9,22543,36681,61134,90773,3131,3015,112,45,21,32,448,26,937,0.4147,548," MN","Benson",0.96295113382306,0.0143724049824337,0.00670712232513574,0.0357713190673906,0.0102203768763973,0.143085276269562,0.0118505013673655
"277","Benson, NC","07003",26116,37.8,13990,21884,34889,74797,3272,1904,1039,534,48,9,582,231,1031,0.517,548," NC","Benson",0.581907090464548,0.16320293398533,0.0146699266503667,0.317542787286064,0.00275061124694377,0.177872860635697,0.103078982597055
"278","Benton, IL","07030",32926,38.8,15640,26043,38592,68162,7936,7693,320,29,29,179,814,472,2815,0.4321,584," IL","Benton",0.969380040322581,0.00365423387096774,0.00365423387096774,0.0403225806451613,0.0225554435483871,0.102570564516129,0.0921694981448936
"279","Benton, KY","07057",40342,44.2,17031,31260,51087,91697,4381,4327,4,26,11,17,558,171,1929,0.4448,701," KY","Benton",0.987674047021228,0.00593471810089021,0.00251084227345355,0.000913033553983109,0.00388039260442821,0.127368180780644,0.0697389885807504
"280","Benton, LA","07084",67276,37,22158,50716,73278,103540,5480,3796,224,986,117,82,1083,174,1872,0.4341,730," LA","Benton",0.692700729927007,0.17992700729927,0.0213503649635036,0.0408759124087591,0.014963503649635,0.197627737226277,0.0482261640798226
"281","Benton City, WA","07111",48672,40,21295,37818,67133,88818,4080,3146,1055,27,11,94,376,160,1565,0.3784,725," WA","Benton City",0.771078431372549,0.00661764705882353,0.00269607843137255,0.258578431372549,0.0230392156862745,0.092156862745098,0.0636182902584493
"282","Benton Harbor--St. Joseph--Fair Plain, MI","07138",41420,40,16798,31442,54932,92328,60120,38884,1816,17757,1165,1383,11424,3317,18467,0.4895,667," MI","Benton Harbor--St. Joseph--Fair Plain",0.646773120425815,0.295359281437126,0.0193779108449767,0.03020625415835,0.0230039920159681,0.19001996007984,0.0796341199913572
"283","Berea, KY","07165",40250,32,14113,29038,49130,72683,16280,14927,499,555,221,365,2478,627,4999,0.4197,660," KY","Berea",0.916891891891892,0.0340909090909091,0.0135749385749386,0.0306511056511056,0.0224201474201474,0.152211302211302,0.0555801790621399
"284","Berlin, NH","07192",37740,47.1,15390,29938,48189,74436,10283,10042,154,46,0,94,850,473,3639,0.4264,667," NH","Berlin",0.9765632597491,0.0044734027034912,0,0.0149761742682097,0.00914130117669941,0.0826607021297287,0.0711920529801325
"285","Berlin, WI","07219",40631,40.8,21270,34192,46858,78866,4673,4274,484,14,0,82,361,143,1287,0.381,610," WI","Berlin",0.914615878450674,0.00299593408945003,0,0.10357372137813,0.017547613952493,0.0772523004493901,0.042232722976964
"286","Berne, IN","07246",40990,41.6,19621,31695,51076,77481,5318,5099,261,24,39,74,651,103,1767,0.4877,612," IN","Berne",0.958819104926664,0.00451297480255735,0.0073335840541557,0.0490786009778112,0.0139150056412185,0.122414441519368,0.029005913827091
"287","Berrien Springs, MI","07273",41523,30.4,16875,30909,54102,91000,7436,3637,818,2106,955,516,2525,322,2423,0.465,681," MI","Berrien Springs",0.489107046799355,0.283216783216783,0.128429263044648,0.110005379236148,0.0693921463152232,0.339564281871974,0.0642329942150409
"288","Berryville, AR","07300",32390,31,19024,27566,38739,52178,4916,4551,1540,0,0,203,300,133,1294,0.3686,558," AR","Berryville",0.925752644426363,0,0,0.313262815296989,0.0412937347436941,0.0610252237591538,0.0367200441744892
"289","Berryville, VA","07327",60951,42.7,21353,44044,81024,126868,4165,3771,70,313,21,33,924,78,1379,0.4433,956," VA","Berryville",0.905402160864346,0.0751500600240096,0.00504201680672269,0.0168067226890756,0.00792316926770708,0.221848739495798,0.0279971284996411
"290","Bethany, MO","07354",35843,37.6,16102,28257,43417,59418,2499,2365,136,50,0,77,219,39,853,0.3762,543," MO","Bethany",0.946378551420568,0.0200080032012805,0,0.054421768707483,0.030812324929972,0.0876350540216086,0.0236938031591738
"291","Bethel, AK","07381",84744,30.9,38029,68938,100984,160675,4631,1309,187,56,72,440,619,153,891,0.382,1383," AK","Bethel",0.282660332541568,0.0120924206434895,0.0155473979702008,0.0403800475059382,0.0950118764845606,0.133664435327143,0.0409090909090909
"292","Bethel, OH","07408",39299,38.1,14898,28883,48818,71500,3519,3475,42,10,0,34,261,201,1167,0.4238,587," OH","Bethel",0.987496447854504,0.00284171639670361,0,0.0119352088661552,0.00966183574879227,0.0741687979539642,0.0854591836734694
"293","Beulah, ND","07462",62667,47.2,16069,47257,78179,110118,3011,2992,52,0,0,0,395,71,828,0.4556,592," ND","Beulah",0.99368980405181,0,0,0.0172700099634673,0,0.131185652607107,0.032524049473202
"294","Bicknell, IN","07489",33782,41.2,13972,24167,45577,76121,3353,3332,19,3,0,18,191,193,1115,0.4313,510," IN","Bicknell",0.993736951983299,0.000894721145243066,0,0.00566656725320608,0.0053683268714584,0.0569639129138085,0.0862377122430742
"295","Big Bear City, CA","07508",42089,44.2,16372,31959,52728,90536,16371,14823,3188,74,150,127,2093,1282,5243,0.4838,988," CA","Big Bear City",0.905442550852117,0.00452018813756032,0.00916254352208173,0.194734591655977,0.0077576201820292,0.12784802394478,0.115204888569375
"296","Big Lake, TX","07543",52161,35.8,20636,43610,69065,98391,3068,2101,2107,116,0,17,178,30,805,0.3902,741," TX","Big Lake",0.684810951760104,0.0378096479791395,0,0.686766623207301,0.00554106910039113,0.0580182529335072,0.0132567388422448
"297","Big Pine Key, FL","07597",64053,52.2,27634,46636,76444,109763,8084,7747,1063,72,48,118,2068,257,2933,0.4843,1582," FL","Big Pine Key",0.958312716476992,0.00890648193963384,0.00593765462642256,0.13149430974765,0.0145967342899555,0.255813953488372,0.0498932246165793
"298","Big Rapids, MI","07624",28029,22.5,10539,20800,39533,65656,14249,12662,377,715,291,474,1842,1379,5259,0.4893,550," MI","Big Rapids",0.888623763071093,0.0501789599270124,0.0204224857884764,0.0264579970524247,0.0332654923152502,0.129272229630149,0.153392658509455
"299","Big Spring, TX","07651",42640,35.2,17378,34169,54350,81292,28330,22564,12326,1790,335,1199,2408,840,11910,0.4456,733," TX","Big Spring",0.796470172961525,0.0631839039887045,0.0118249205788916,0.435086480762443,0.0423226261913166,0.0849982350864808,0.0511571254567601
"300","Big Stone Gap, VA","07678",35245,39.3,15253,23080,42293,70567,8682,7264,117,1158,43,171,949,352,4402,0.4163,638," VA","Big Stone Gap",0.836673577516701,0.133379405666897,0.00495277585809721,0.0134761575673808,0.0196959225984796,0.109306611379866,0.0822429906542056
"301","Billings, MT","07705",49461,37,21836,39390,61682,96551,118403,106441,6447,873,788,2675,23316,2823,29608,0.4521,737," MT","Billings",0.898972154421763,0.00737312399179075,0.0066552367760952,0.05444963387752,0.0225923329645364,0.196920686131264,0.0317923306492483
"302","Binghamton, NY--PA","07732",44251,38.8,17426,34410,54961,88527,156938,133103,6997,9744,7436,4227,28629,6563,55217,0.4573,701," NY--PA","Binghamton",0.848124737157349,0.062088213179727,0.0473817685965158,0.0445844855930367,0.0269342033159592,0.18242235787381,0.0645196173848075
"303","Birch Bay, WA","07759",55139,44.7,23071,43828,69425,113164,12566,10403,367,161,1310,336,2910,622,4015,0.434,936," WA","Birch Bay",0.827868852459016,0.0128123507878402,0.104249562310998,0.029205793410791,0.0267388190354926,0.23157727200382,0.0727400304058005
"304","Birmingham, AL","07786",49881,36.7,19592,38447,62897,102944,757127,423886,34654,291206,13821,8295,173546,34842,213350,0.4884,837," AL","Birmingham",0.559861159356356,0.384619753357099,0.0182545332553191,0.0457703925497308,0.0109558898309002,0.229216498685161,0.0640740597708252
"305","Bisbee, AZ","07813",33604,49.7,13238,25247,45149,70848,5283,4378,1984,70,48,158,1134,193,2238,0.4613,665," AZ","Bisbee",0.828695816770774,0.0132500473215976,0.00908574673480977,0.375544198372137,0.0299072496687488,0.214650766609881,0.0633825944170772
"306","Biscoe, NC","07824",27700,34.1,15959,21266,36643,59031,2636,2063,1046,341,22,35,162,201,790,0.3992,613," NC","Biscoe",0.782625189681335,0.129362670713202,0.00834597875569044,0.396813353566009,0.0132776934749621,0.0614567526555387,0.108884073672806
"307","Bishop, CA","07840",45517,43.3,18580,33621,61264,87965,9974,8273,2376,28,114,216,1606,346,3072,0.434,838," CA","Bishop",0.829456587126529,0.00280729897734109,0.0114297172648887,0.238219370362944,0.0216563063966312,0.161018648486064,0.0501303969863808
"308","Bishop, TX","07867",50673,34,17900,39281,63892,95444,3043,2785,2194,4,26,24,273,151,916,0.3898,664," TX","Bishop",0.915215248110417,0.00131449227735787,0.00854419980282616,0.720999014130792,0.00788695366414722,0.0897140979296747,0.0709920075223319
"309","Bishopville, SC","07894",20119,33.9,9970,17094,26548,61333,4135,1054,66,3001,5,45,201,235,2292,0.4675,492," SC","Bishopville",0.254897218863362,0.725755743651753,0.00120918984280532,0.0159613059250302,0.0108827085852479,0.0486094316807739,0.127509495387954
"310","Bismarck, ND","07921",57831,36.4,25941,45309,70975,105547,86777,79546,1374,810,510,1866,18915,1369,19529,0.4289,719," ND","Bismarck",0.916671468246194,0.00933427060165712,0.00587713334178411,0.0158336886502184,0.0215033937564101,0.217972504234993,0.0203574827504164
"311","Blackfoot, ID","07948",41013,30.3,17259,32350,47220,75556,15979,14355,3546,71,247,522,1890,422,4078,0.4439,611," ID","Blackfoot",0.898366606170599,0.00444333187308342,0.0154577883472057,0.221916265097941,0.0326678765880218,0.1182802428187,0.0354592051088144
"312","Black River Falls, WI","07975",39799,43.2,17887,34188,46510,72796,5554,4815,145,341,61,71,526,114,2226,0.3892,595," WI","Black River Falls",0.866942743968311,0.0613971912135398,0.0109830752610731,0.0261073100468131,0.0127835794022326,0.094706517824991,0.0342548076923077
"313","Blacksburg, VA","08002",38923,23.7,12504,27166,49529,86335,90827,76771,2974,5468,5890,1769,20188,3184,35313,0.5109,849," VA","Blacksburg",0.845244255562773,0.0602023627335484,0.064848558248098,0.0327435674413996,0.0194765873583846,0.222268708643905,0.0573549014662968
"314","Blackshear, GA","08029",33995,34.7,12275,29708,47000,60559,4185,3060,276,706,56,155,301,164,1719,0.4317,485," GA","Blackshear",0.731182795698925,0.168697729988053,0.0133811230585424,0.0659498207885305,0.037037037037037,0.0719235364396655,0.0665044606650446
"315","Blackstone, VA","08056",33867,41.7,10577,24625,37320,70373,3320,1656,328,1419,4,13,347,73,1508,0.4711,799," VA","Blackstone",0.498795180722892,0.427409638554217,0.00120481927710843,0.0987951807228916,0.00391566265060241,0.104518072289157,0.0402869757174393
